Situação Pós-Pleito;Nome Completo;Nome Urna;Cargo;Número;Partido;Situação;Coligação
Concorrendo;PAULO LEONARDO MOREIRA MARTINS;PAULO MARTINS;Deputado Distrital;44455;PRP;Aguardando julgamento;BRASÍLIA ACIMA DE TUDO
Concorrendo;PAULO FERNANDO CARNEIRO MONTEIRO;PAULO MONTEIRO;Deputado Distrital;14333;PTB;Aguardando julgamento;PTB
Concorrendo;PAULO DE SOUSA MOURA;PAULO MOURA;Deputado Distrital;20111;PSC;Aguardando julgamento;PSC
Concorrendo;PAULO AFONSO RODRIGUES;PAULO PITOMBEIRA;Deputado Distrital;35999;PMB;Aguardando julgamento;RENOVA DF
Concorrendo;PAULO HENRIQUE MAGALHAES POLI;PAULO POLI;Deputado Distrital;14777;PTB;Aguardando julgamento;PTB
Concorrendo;PAULO RENATO TEIXEIRA;PAULO RENATO;Deputado Distrital;35444;PMB;Aguardando julgamento;RENOVA DF
Concorrendo;PAULO ROBERTO BORGES;PAULO ROBERTO;Deputado Distrital;10777;PRB;Aguardando julgamento;COLIGAÇÃO UNIDOS PELO DF 3
Concorrendo;PAULO THIAGO ALENCAR ANTUNES;PAULO THIAGO CAVEIRA;Deputado Distrital;36055;PTC;Aguardando julgamento;mobilizar pra mudar
Concorrendo;PAULO ROBERTO MIRANDA TORRES;PAULO TORRES;Deputado Distrital;20100;PSC;Aguardando julgamento;PSC
Concorrendo;FABIANA ARANTES DE ARAÚJO MENDES;PEDIATRA FABIANA;Deputado Distrital;23100;PPS;Aguardando julgamento;PPS
Concorrendo;PEDRO JAKSON ABREU DA SILVA;PEDRÃO;Deputado Distrital;23015;PPS;Aguardando julgamento;PPS
Concorrendo;PEDRO BARROS COSTA;PEDRO BARROS;Deputado Distrital;11555;PP;Aguardando julgamento;PP
Concorrendo;PEDRO IVO SANTANA BORGES DE LIMA;PEDRO IVO;Deputado Distrital;23023;PPS;Aguardando julgamento;PPS
Concorrendo;PEDRO LUIZ DIAS LEITE;PEDRO LEITE;Deputado Distrital;19020;PODE;Aguardando julgamento;UNIDOS PELO DF 2
Concorrendo;PEDRO PAULO ARAUJO MOREIRA;PEDRO PAULO DO NOVO;Deputado Distrital;30222;NOVO;Aguardando julgamento;NOVO
Concorrendo;PEDRO ALEGAR DA SILVA;PEDRO SILVA;Deputado Distrital;20500;PSC;Aguardando julgamento;PSC
